event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
2019-10-23T09:44:06.000Z,view,2800638,2053013563835941749,appliances.kitchen.refrigerators,null,194.32,523560041,f2da82d4-3aca-4ebb-a5a7-2a176537da35
2019-10-23T09:44:06.000Z,view,1306746,2053013558920217191,computers.notebook,lenovo,873.61,532561846,d2a62c6a-8529-4692-b562-f815296b5c34
2019-10-23T09:44:06.000Z,view,4700549,2053013560899928785,auto.accessories.videoregister,neoline,143.89,550105456,d4d16d85-4c7a-48eb-b1dc-64a836985aff
2019-10-23T09:44:06.000Z,view,52100001,2137704926053138958,null,nike,88.78,516571149,7fd09910-745e-4405-8432-8328d18ca7b8
2019-10-23T09:44:06.000Z,view,8801100,2053013555573162395,electronics.telephone,nokia,94.67,516822110,61d49429-0f6a-435a-8910-26f10fa3939f
2019-10-23T09:44:06.000Z,view,1004133,2053013555631882655,electronics.smartphone,xiaomi,141.58,531517925,3e78d161-8a64-483b-83d4-bb0ae7cdd445
2019-10-23T09:44:06.000Z,view,19200109,2053013556202308035,construction.tools.saw,stihl,604.91,557991360,12af05ac-14fe-48ee-b922-275b23edfffa
2019-10-23T09:44:06.000Z,cart,18500036,2053013552695869677,electronics.tablet,wacom,112.85,513934614,9cdc8f56-4c1f-4d04-ab69-6dadce1553da
2019-10-23T09:44:06.000Z,view,42200110,2095518917320508073,null,null,13.59,540398673,90d17e49-f2ad-4321-84c2-fac82b7d17be
2019-10-23T09:44:06.000Z,view,15800070,2053013560144954031,null,huter,70.76,543044394,eefdcf60-2b16-40ea-9330-5bc6d0015133
2019-10-23T09:44:06.000Z,view,28721262,2116907519078040377,apparel.shoes,legre,118.15,514264137,984b820c-8c13-4b85-bb08-04cec19b7598
2019-10-23T09:44:06.000Z,cart,1004775,2053013555631882655,electronics.smartphone,xiaomi,183.27,533153067,72249b5c-42c5-444e-9c3b-fb46cf37e910
2019-10-23T09:44:06.000Z,view,20100092,2053013559473865347,null,nika,68.57,559511385,4dc32b19-3191-4c6a-aab3-ac7dbbf6159d
2019-10-23T09:44:06.000Z,view,1005174,2053013555631882655,electronics.smartphone,samsung,643.23,525907702,b3fefbe3-5312-4a37-a67d-1561dd886353
2019-10-23T09:44:06.000Z,view,3700779,2053013565983425517,appliances.environment.vacuum,xiaomi,297.29,517106943,e3983aa3-9e20-47a1-8a59-b1adb5ac94a8
2019-10-23T09:44:07.000Z,view,1004720,2053013555631882655,electronics.smartphone,huawei,126.13,563271738,fd749ae6-b0cb-46f5-a79e-fe632a4bfa30
2019-10-23T09:44:07.000Z,view,15100370,2053013557024391671,null,null,257.15,563271469,97a04e92-66db-4a68-bc47-2b6947e9fc84
2019-10-23T09:44:07.000Z,view,1004565,2053013555631882655,electronics.smartphone,huawei,165.96,531522372,7470242e-0367-4630-94f6-641a70a53c95
2019-10-23T09:44:07.000Z,view,1004849,2053013555631882655,electronics.smartphone,huawei,952.03,525236708,11e03503-ad2e-4156-8075-0f75b0f5d45e
2019-10-23T09:44:07.000Z,view,1480733,2053013561092866779,computers.desktop,pulser,710.42,561043223,396536dd-f2cd-4bde-b694-6ef76d36a8ad
2019-10-23T09:44:07.000Z,view,30000218,2127425436764865054,construction.tools.welding,magnetta,254.78,519240970,9c7110f8-9149-4b77-8011-179262a0b287
2019-10-23T09:44:07.000Z,view,26300734,2053013563584283495,null,null,139.26,539994042,7396c40b-591e-4850-9de4-78fb6b5b44ca
2019-10-23T09:44:07.000Z,view,28718148,2053013565782098913,apparel.shoes,baden,51.22,553345124,8c0f4d63-bd10-4cc2-9fd5-464e518025e0
2019-10-23T09:44:07.000Z,purchase,26400292,2053013563651392361,null,lucente,185.85,530519341,58e9bcdf-fdfe-4d9d-b6f2-621a680a925a
2019-10-23T09:44:07.000Z,view,5100375,2053013553341792533,electronics.clocks,xiaomi,69.5,513632633,f9741b97-acc6-481a-9167-a4c6e5cfe852
2019-10-23T09:44:07.000Z,view,26202882,2053013563693335403,null,null,191.51,525937185,8a1387f9-6feb-4460-a752-b78ec90b3885
2019-10-23T09:44:07.000Z,view,12705003,2053013553559896355,null,cordiant,40.93,517764311,e3165871-1c19-43cb-bee7-fbb5c38fe993
2019-10-23T09:44:07.000Z,view,12719632,2053013553559896355,null,kapsen,56.37,517428488,129ffbee-af8c-474f-b29d-fa06517b44f9
2019-10-23T09:44:07.000Z,view,8800399,2053013555573162395,electronics.telephone,nokia,36.01,559054436,241b1208-4ad2-4648-a186-b6cc857d3a55
2019-10-23T09:44:07.000Z,view,12000132,2053013555438944659,null,caramelia,41.16,524127989,c18aac89-6596-4c86-aaca-866fcd2d2462
2019-10-23T09:44:07.000Z,view,4300327,2053013552385491165,null,philips,437.57,512752761,de02d26c-415f-40a2-aa8e-b90647316f83
2019-10-23T09:44:07.000Z,view,4600605,2053013563944993659,appliances.kitchen.dishwasher,gorenje,360.34,561153503,6206664b-7a55-461e-911a-c5a141aa78da
2019-10-23T09:44:07.000Z,view,3700462,2053013565983425517,appliances.environment.vacuum,scarlett,59.18,525144922,794c42e3-25c7-4873-906d-b88e095236db
2019-10-23T09:44:08.000Z,view,11300005,2053013555531219353,electronics.telephone,panasonic,25.12,532669757,898df2cc-68e8-45ce-92f6-ade46a2d659e
2019-10-23T09:44:08.000Z,purchase,1004838,2053013555631882655,electronics.smartphone,oppo,179.9,515416753,d2e1d4b0-b483-41f7-8158-ca01569b5740
2019-10-23T09:44:08.000Z,view,14701797,2053013557133443581,furniture.living_room.cabinet,null,252.26,519506982,045096cb-4d00-487e-b0d1-4fc2b6e57e9f
2019-10-23T09:44:08.000Z,view,1005178,2053013555631882655,electronics.smartphone,samsung,900.64,512415098,f1a4a691-9f85-4e18-8659-e58d29a1e820
2019-10-23T09:44:08.000Z,view,12702009,2053013553559896355,null,hp,193.06,522843359,7a6771ae-e169-4437-b9e0-b5c28f33ecc7
2019-10-23T09:44:08.000Z,view,12000132,2053013555438944659,null,caramelia,41.16,527054643,53f63286-bed8-419c-8d64-faac127ee805
2019-10-23T09:44:08.000Z,view,1307491,2053013558920217191,computers.notebook,xiaomi,1106.59,513076623,8816b4d5-3d01-014a-c3fc-2d100dca39eb
2019-10-23T09:44:08.000Z,view,4804295,2053013554658804075,electronics.audio.headphone,xiaomi,22.91,543152922,c66a8e7d-0e4b-4f04-b1be-7da3bef6d183
2019-10-23T09:44:08.000Z,view,44300024,2100825583029060150,apparel.jeans,null,46.08,560071267,1a9dccc7-a4e8-45e4-bcf7-548bfa1b5767
2019-10-23T09:44:08.000Z,view,48400006,2119149008294249184,null,null,69.47,555799561,7440ced0-4e6d-449c-910e-a24f888b04d3
2019-10-23T09:44:08.000Z,view,19600495,2053013558836331105,null,ecolab,3.22,518375035,8fbae4b0-cb9d-4d06-86fb-4a7ae1cb7f94
2019-10-23T09:44:08.000Z,view,1003879,2053013555631882655,electronics.smartphone,huawei,540.27,541663592,872513bb-2950-4ff4-a588-058d67182cdd
2019-10-23T09:44:08.000Z,view,28713027,2053013565639492569,apparel.shoes,baden,70.79,513642378,80bf6eb6-400e-4920-981f-76d9385c41df
2019-10-23T09:44:09.000Z,view,1005160,2053013555631882655,electronics.smartphone,xiaomi,222.08,555128433,1799436d-8033-445a-9ddc-1c67931cbcef
2019-10-23T09:44:09.000Z,view,1005239,2053013555631882655,electronics.smartphone,xiaomi,257.15,563271251,6c20968f-aba0-4674-ac4e-6164224ec6ad
2019-10-23T09:44:09.000Z,view,4100343,2053013561218695907,null,microsoft,360.34,512753053,78184d3b-9f5a-493a-b16d-3cde535b36d7
