event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session,cumulative_events
2019-10-23T20:04:08.000Z,view,7002639,2.05301E+18,kids.carriage,bumbleride,769.65,33869381,d83dc524-8a2c-4780-bbe0-f8aee03b54df,1
2019-10-13T00:13:46.000Z,view,10600284,2.05301E+18,null,null,0,64078358,6183edb9-f592-4bb8-9913-67bb4711694d,1
2019-10-02T21:43:00.000Z,view,22200103,2.05301E+18,null,null,15.77,183503497,884233e8-8b9f-4970-808b-4e1c81f8a5fc,1
2019-10-04T17:44:37.000Z,view,6902133,2.05301E+18,furniture.living_room.chair,joie,143.89,184265397,2c5d0468-32e1-42f7-9b4e-b17c1d387247,1
2019-10-04T17:45:18.000Z,view,6902133,2.05301E+18,furniture.living_room.chair,joie,143.89,184265397,2c5d0468-32e1-42f7-9b4e-b17c1d387247,2
2019-10-04T17:50:50.000Z,view,6902303,2.05301E+18,furniture.living_room.chair,joie,111.46,184265397,2c5d0468-32e1-42f7-9b4e-b17c1d387247,3
2019-10-04T17:51:04.000Z,view,6902303,2.05301E+18,furniture.living_room.chair,joie,111.46,184265397,2c5d0468-32e1-42f7-9b4e-b17c1d387247,4
2019-10-15T17:18:59.000Z,view,27400002,2.05301E+18,null,oral-b,79.77,184265397,c4ddb5b7-3185-453b-8e02-45d48a9775be,5
2019-10-15T17:19:28.000Z,view,27400002,2.05301E+18,null,oral-b,79.77,184265397,c4ddb5b7-3185-453b-8e02-45d48a9775be,6
2019-10-10T03:35:36.000Z,view,4804056,2.05301E+18,electronics.audio.headphone,apple,161.88,195082191,ad2e4ed4-26d4-45bc-b8ff-ee55ac1765cc,1
2019-10-10T15:02:36.000Z,view,6701171,2.05301E+18,computers.components.videocards,sinotex,99.42,200673532,08b03c3c-bd1b-4268-a012-91ca4d0e5030,1
2019-10-12T07:58:37.000Z,view,6701171,2.05301E+18,computers.components.videocards,sinotex,99.42,200673532,4957f400-27cb-45e9-8d37-cd720aa40725,2
2019-10-12T14:47:07.000Z,view,6501011,2.05301E+18,computers.components.motherboard,asrock,73.36,200673532,7b9c574c-6c0e-4dc8-a993-e3ff0f750d21,3
